date,device_type,category,user_type,sessions,orders,conversion_rate
2024-12-10,web,electronics,new,1194,57,0.0477
2024-12-10,web,electronics,returning,1270,76,0.0598
2024-12-10,web,fashion,new,866,31,0.0358
2024-12-10,web,fashion,returning,1089,61,0.056
2024-12-10,web,home,new,766,33,0.0431
2024-12-10,web,home,returning,933,52,0.0557
2024-12-10,web,groceries,new,907,47,0.0518
2024-12-10,web,groceries,returning,767,58,0.0756
2024-12-10,ios,electronics,new,686,26,0.0379
2024-12-10,ios,electronics,returning,1251,75,0.06
2024-12-10,ios,fashion,new,757,26,0.0343
2024-12-10,ios,fashion,returning,1071,55,0.0514
2024-12-10,ios,home,new,649,22,0.0339
2024-12-10,ios,home,returning,890,50,0.0562
2024-12-10,ios,groceries,new,518,24,0.0463
2024-12-10,ios,groceries,returning,595,36,0.0605
2024-12-10,android,electronics,new,784,30,0.0383
2024-12-10,android,electronics,returning,789,44,0.0558
2024-12-10,android,fashion,new,499,17,0.0341
2024-12-10,android,fashion,returning,624,30,0.0481
2024-12-10,android,home,new,401,14,0.0349
2024-12-10,android,home,returning,422,22,0.0521
2024-12-10,android,groceries,new,385,16,0.0416
2024-12-10,android,groceries,returning,506,28,0.0553
2024-12-11,web,electronics,new,1443,64,0.0444
2024-12-11,web,electronics,returning,1777,113,0.0636
2024-12-11,web,fashion,new,872,32,0.0367
2024-12-11,web,fashion,returning,996,52,0.0522
2024-12-11,web,home,new,768,31,0.0404
2024-12-11,web,home,returning,1029,61,0.0593
2024-12-11,web,groceries,new,856,44,0.0514
2024-12-11,web,groceries,returning,1001,72,0.0719
2024-12-11,ios,electronics,new,882,36,0.0408
2024-12-11,ios,electronics,returning,1438,84,0.0584
2024-12-11,ios,fashion,new,829,29,0.035
2024-12-11,ios,fashion,returning,847,40,0.0472
2024-12-11,ios,home,new,494,18,0.0364
2024-12-11,ios,home,returning,908,50,0.0551
2024-12-11,ios,groceries,new,438,21,0.0479
2024-12-11,ios,groceries,returning,624,41,0.0657
2024-12-11,android,electronics,new,634,25,0.0394
2024-12-11,android,electronics,returning,639,36,0.0563
2024-12-11,android,fashion,new,512,17,0.0332
2024-12-11,android,fashion,returning,713,35,0.0491
2024-12-11,android,home,new,458,15,0.0328
2024-12-11,android,home,returning,412,18,0.0437
2024-12-11,android,groceries,new,328,12,0.0366
2024-12-11,android,groceries,returning,362,19,0.0525
